ID,ActivityDate,TotalSteps,TotalDistance,VeryActiveDistance,ModeratelyActiveDistance,LightActiveDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,Calories
8792009665,12.04.16,2564,1.639999986,0,0,1.639999986,0,0,116,2044
8792009665,13.04.16,1320,0.839999974,0,0,0.839999974,0,0,82,1934
8792009665,14.04.16,1219,0.779999971,0,0,0.779999971,0,0,84,1963
8792009665,15.04.16,2483,1.590000033,0,0,1.590000033,0,0,126,2009
8792009665,16.04.16,244,0.159999996,0,0,0.159999996,0,0,12,1721
8792009665,17.04.16,0,0,0,0,0,0,0,0,1688
8792009665,18.04.16,0,0,0,0,0,0,0,0,1688
8792009665,19.04.16,0,0,0,0,0,0,0,0,1688
8792009665,20.04.16,3147,2.00999999,0,0.280000001,1.74000001,0,10,139,2188
8792009665,21.04.16,144,0.090000004,0,0,0.090000004,0,0,9,1720
8792009665,22.04.16,4068,2.599999905,0.050000001,0.280000001,2.269999981,1,20,195,2419
8792009665,23.04.16,5245,3.359999895,0.159999996,0.439999998,2.75,8,45,232,2748
8792009665,24.04.16,400,0.25999999,0.039999999,0.050000001,0.159999996,3,8,19,1799
8792009665,25.04.16,0,0,0,0,0,0,0,0,1688
8792009665,26.04.16,1321,0.850000024,0,0,0.850000024,0,0,80,1928
8792009665,27.04.16,1758,1.129999995,0,0,1.129999995,0,0,112,2067
8792009665,28.04.16,6157,3.940000057,0,0,3.940000057,0,0,310,2780
8792009665,29.04.16,8360,5.349999905,0.140000001,0.280000001,4.929999828,6,14,380,3101
8792009665,30.04.16,7174,4.590000153,0.330000013,0.360000014,3.910000086,10,20,301,2896
8792009665,01.05.16,1619,1.039999962,0,0,1.039999962,0,0,79,1962
8792009665,02.05.16,1831,1.169999957,0,0,1.169999957,0,0,101,2015
8792009665,03.05.16,2421,1.549999952,0,0,1.549999952,0,0,156,2297
8792009665,04.05.16,2283,1.460000038,0,0,1.460000038,0,0,129,2067
8792009665,05.05.16,0,0,0,0,0,0,0,0,1688
8792009665,06.05.16,0,0,0,0,0,0,0,0,1688
8792009665,07.05.16,0,0,0,0,0,0,0,0,1688
8792009665,08.05.16,0,0,0,0,0,0,0,0,1688
8792009665,09.05.16,0,0,0,0,0,0,0,0,1688
8792009665,10.05.16,0,0,0,0,0,0,0,0,57
8877689391,12.04.16,23186,20.39999962,12.22000027,0.340000004,7.820000172,85,7,312,3921
8877689391,13.04.16,15337,9.579999924,3.549999952,0.379999995,5.639999866,108,18,216,3566
8877689391,14.04.16,21129,18.97999954,10.55000019,0.589999974,7.75,68,13,298,3793
8877689391,15.04.16,13422,7.170000076,0.050000001,0.050000001,7.010000229,106,1,281,3934
8877689391,16.04.16,29326,25.29000092,13.23999977,1.210000038,10.71000004,94,29,429,4547
8877689391,17.04.16,15118,8.869999886,0,0.07,8.789999962,58,15,307,3545
8877689391,18.04.16,11423,8.670000076,2.440000057,0.270000011,5.940000057,29,5,191,2761
8877689391,19.04.16,18785,17.39999962,12.14999962,0.180000007,5.03000021,82,13,214,3676
8877689391,20.04.16,19948,18.11000061,11.02000046,0.689999998,6.340000153,73,19,225,3679
8877689391,21.04.16,19377,17.62000084,12.28999996,0.419999987,4.889999866,82,13,226,3659
8877689391,22.04.16,18258,16.30999947,10.22999954,0.029999999,5.96999979,61,2,236,3427
8877689391,23.04.16,11200,7.429999828,0,0,7.400000095,102,6,300,3891
8877689391,24.04.16,16674,15.73999977,11.01000023,0.01,4.690000057,64,1,227,3455
8877689391,25.04.16,12986,8.739999771,2.369999886,0.07,6.269999981,113,8,218,3802
8877689391,26.04.16,11101,8.430000305,1.75999999,0.129999995,6.5,22,3,258,2860
8877689391,27.04.16,23629,20.64999962,13.06999969,0.439999998,7.099999905,93,8,235,3808
8877689391,28.04.16,14890,11.30000019,4.929999828,0.379999995,5.96999979,58,8,231,3060
8877689391,29.04.16,9733,7.389999866,1.379999995,0.170000002,5.789999962,18,5,210,2698
8877689391,30.04.16,27745,26.71999931,21.65999985,0.079999998,4.929999828,124,4,223,4398
8877689391,01.05.16,10930,8.319999695,3.130000114,0.569999993,4.570000172,36,12,166,2786
8877689391,02.05.16,4790,3.640000105,0,0,3.559999943,0,0,105,2189
8877689391,03.05.16,10818,8.210000038,1.389999986,0.100000001,6.670000076,19,3,229,2817
8877689391,04.05.16,18193,16.29999924,10.42000008,0.310000002,5.53000021,66,8,212,3477
8877689391,05.05.16,14055,10.67000008,5.460000038,0.819999993,4.369999886,67,15,188,3052
8877689391,06.05.16,21727,19.34000015,12.78999996,0.289999992,6.159999847,96,17,232,4015
8877689391,07.05.16,12332,8.130000114,0.079999998,0.959999979,6.989999771,105,28,271,4142
8877689391,08.05.16,10686,8.109999657,1.080000043,0.200000003,6.800000191,17,4,245,2847
8877689391,09.05.16,20226,18.25,11.10000038,0.800000012,6.239999771,73,19,217,3710
8877689391,10.05.16,10733,8.149999619,1.350000024,0.460000008,6.28000021,18,11,224,2832
8877689391,11.05.16,21420,19.55999947,13.22000027,0.409999996,5.889999866,88,12,213,3832
8877689391,12.05.16,8064,6.119999886,1.820000052,0.039999999,4.25,23,1,137,1849
