ID,ActivityDate,Calories
1624580081,04.12.16,1432
1624580081,4/13/2016,1411
1624580081,4/14/2016,1572
1624580081,4/15/2016,1344
1624580081,4/16/2016,
1624580081,4/17/2016,1554
1624580081,4/18/2016,1604
1624580081,4/19/2016,1435
1624580081,4/20/2016,1446
1624580081,4/21/2016,1467
1624580081,4/22/2016,1470
1624580081,4/23/2016,1562
1624580081,4/24/2016,1617
1624580081,4/25/2016,1492
1624580081,4/26/2016,
1624580081,4/27/2016,1670
1624580081,4/28/2016,1401
1624580081,4/29/2016,1404
1624580081,4/30/2016,1655
1624580081,05.01.16,2690
1624580081,05.02.16,1497
1624580081,05.03.16,1334
1624580081,05.04.16,1368
1624580081,05.05.16,1370
1624580081,05.06.16,1341
1624580081,05.07.16,1474
1624580081,05.08.16,1427
1624580081,05.09.16,1328
1624580081,05.10.16,1393
1624580081,05.11.16,1359
1624580081,05.12.16,1002
1644430081,04.12.16,3199
1644430081,4/13/2016,2902
1644430081,4/14/2016,3226
1644430081,4/15/2016,2750
1644430081,4/16/2016,3493
1644430081,4/17/2016,3011
1644430081,4/18/2016,2806
1644430081,4/19/2016,3300
1644430081,4/20/2016,2430
1644430081,4/21/2016,2140
1644430081,4/22/2016,2344
1644430081,4/23/2016,2677
1644430081,4/24/2016,2413
1644430081,4/25/2016,2497
1644430081,4/26/2016,3123
1644430081,4/27/2016,2489
1644430081,4/28/2016,3108
1644430081,4/29/2016,2498
1644430081,4/30/2016,3846
1644430081,05.01.16,
1644430081,05.02.16,2580
1644430081,05.03.16,3324
1644430081,05.04.16,2222
1644430081,05.05.16,2463
1644430081,05.06.16,3328
1644430081,05.07.16,3404
1644430081,05.08.16,2987
1644430081,05.09.16,
1644430081,05.10.16,2799
1644430081,05.11.16,1276
1503960366,04.12.16,1985
1503960366,4/13/2016,
1503960366,4/14/2016,1776
1503960366,4/15/2016,1745
1503960366,4/16/2016,1863
1503960366,4/17/2016,1728
1503960366,4/18/2016,1921
1503960366,4/19/2016,2035
1503960366,4/20/2016,1786
1503960366,4/21/2016,1775
1503960366,4/22/2016,
1503960366,4/23/2016,1949
1503960366,4/24/2016,1788
1503960366,4/25/2016,2013
1503960366,4/26/2016,1970
1503960366,4/27/2016,2159
1503960366,4/28/2016,1898
1503960366,4/29/2016,1837
1503960366,4/30/2016,1947
1503960366,05.01.16,1820
1503960366,05.02.16,2004
1503960366,05.03.16,1990
1503960366,05.04.16,1819
1503960366,05.05.16,1959
