ID,ActivityDate,TotalSteps,TotalDistance,VeryActiveDistance,ModeratelyActiveDistance,LightActiveDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes
1503960366,04.12.16,13162,8.5,1.879999995,0.550000012,6.059999943,25,13,328
1503960366,4/13/2016,10735,6.96999979,1.570000052,0.689999998,4.710000038,21,19,217
1503960366,4/14/2016,10460,6.739999771,2.440000057,0.400000006,3.910000086,30,11,181
1503960366,4/15/2016,9762,6.28000021,2.140000105,1.25999999,2.829999924,29,34,209
1503960366,4/16/2016,12669,8.159999847,2.710000038,0.409999996,5.039999962,36,10,221
1503960366,4/17/2016,9705,6.480000019,3.190000057,0.779999971,2.50999999,38,20,164
1503960366,4/18/2016,13019,8.590000153,3.25,0.639999986,4.710000038,42,16,233
1503960366,4/19/2016,15506,9.880000114,3.529999971,1.320000052,5.03000021,50,31,264
1503960366,4/20/2016,10544,6.679999828,1.960000038,0.479999989,4.239999771,28,12,205
1503960366,4/21/2016,9819,6.340000153,1.340000033,0.349999994,4.650000095,19,8,211
1503960366,4/22/2016,,8.130000114,4.760000229,1.120000005,2.24000001,66,27,130
1503960366,4/23/2016,14371,9.039999962,2.809999943,0.870000005,5.360000134,41,21,262
1503960366,4/24/2016,10039,6.409999847,2.920000076,0.209999993,3.279999971,39,5,238
1503960366,4/25/2016,15355,9.800000191,5.289999962,0.569999993,3.940000057,73,14,216
1503960366,4/26/2016,13755,8.789999962,2.329999924,0.920000017,5.539999962,31,23,279
1503960366,4/27/2016,18134,12.21000004,6.400000095,0.409999996,5.409999847,78,11,243
1503960366,4/28/2016,13154,8.529999733,3.539999962,1.159999967,3.789999962,48,28,189
1503960366,4/29/2016,11181,7.150000095,1.059999943,0.5,5.579999924,16,12,243
1503960366,4/30/2016,14673,9.25,3.559999943,1.419999957,4.269999981,52,34,217
1503960366,05.01.16,10602,6.809999943,2.289999962,1.600000024,2.920000076,33,35,246
1503960366,05.02.16,14727,9.710000038,3.210000038,0.569999993,5.920000076,41,15,277
1503960366,05.03.16,15103,9.659999847,3.730000019,1.049999952,4.880000114,50,24,254
1503960366,05.04.16,11100,7.150000095,2.460000038,0.870000005,3.819999933,36,22,203
1503960366,05.05.16,14070,8.899999619,2.920000076,1.080000043,4.880000114,45,24,250
1503960366,05.06.16,12159,8.029999733,1.970000029,0.25,5.809999943,24,6,289
1503960366,05.07.16,11992,7.710000038,2.460000038,2.119999886,3.130000114,37,46,175
1503960366,05.08.16,10060,6.579999924,3.529999971,0.319999993,2.730000019,44,8,203
1503960366,05.09.16,12022,7.71999979,3.450000048,0.529999971,3.74000001,46,11,206
1503960366,05.10.16,12207,7.769999981,3.349999905,1.159999967,3.25999999,46,31,214
1503960366,05.11.16,12770,8.130000114,2.559999943,1.00999999,4.550000191,36,23,251
1503960366,05.12.16,,0,0,0,0,0,0,0
1624580081,04.12.16,,5.309999943,0,0,5.309999943,0,0,146
1624580081,4/13/2016,7007,4.550000191,0,0,4.550000191,0,0,148
1624580081,4/14/2016,9107,5.920000076,0,0,5.909999847,0,0,236
1624580081,4/15/2016,1510,0.980000019,0,0,0.970000029,0,0,96
1624580081,4/16/2016,,3.49000001,0,0,3.49000001,0,0,176
1624580081,4/17/2016,,4.059999943,1.029999971,1.519999981,1.49000001,15,22,127
1624580081,4/18/2016,10536,7.409999847,2.150000095,0.620000005,4.619999886,17,7,202
1624580081,4/19/2016,2916,1.899999976,0,0,1.899999976,0,0,141
1624580081,4/20/2016,4974,3.230000019,0,0,3.230000019,0,0,151
1624580081,4/21/2016,6349,4.130000114,0,0,4.110000134,0,0,186
1624580081,4/22/2016,4026,2.619999886,0,0,2.599999905,0,0,199
1624580081,4/23/2016,8538,5.550000191,0,0,5.539999962,0,0,227
1624580081,4/24/2016,6076,3.950000048,1.149999976,0.910000026,1.889999986,16,18,185
1624580081,4/25/2016,6497,4.21999979,0,0,4.199999809,0,0,202
1624580081,4/26/2016,2826,1.840000033,0,0,1.830000043,0,0,140
1624580081,4/27/2016,8367,5.440000057,1.110000014,1.870000005,2.460000038,17,36,154
1624580081,4/28/2016,2759,1.789999962,0,0.200000003,1.600000024,0,5,115
1624580081,4/29/2016,2390,1.549999952,0,0,1.549999952,0,0,150
1624580081,4/30/2016,6474,4.300000191,0.899999976,1.279999971,2.119999886,11,23,224
1624580081,05.01.16,36019,28.03000069,21.92000008,4.190000057,1.909999967,186,63,171
1624580081,05.02.16,7155,4.929999828,0.860000014,0.589999974,3.470000029,7,6,166
1624580081,05.03.16,2100,1.370000005,0,0,1.340000033,0,0,96
1624580081,05.04.16,2193,1.429999948,0,0,1.419999957,0,0,118
1624580081,05.05.16,2470,1.610000014,0,0,1.580000043,0,0,117
1624580081,05.06.16,1727,1.120000005,0,0,1.120000005,0,0,102
1624580081,05.07.16,2104,1.370000005,0,0,1.370000005,0,0,182
1624580081,05.08.16,3427,2.230000019,0,0,2.220000029,0,0,152
1624580081,05.09.16,1732,1.129999995,0,0,1.129999995,0,0,91
1624580081,05.10.16,2969,1.929999948,0,0,1.919999957,0,0,139
1624580081,05.11.16,3134,2.039999962,0,0,2.039999962,0,0,112
1624580081,05.12.16,2971,1.929999948,0,0,1.919999957,0,0,107
1644430081,04.12.16,10694,7.769999981,0.140000001,2.299999952,5.329999924,2,51,256
1644430081,4/13/2016,8001,5.820000172,2.279999971,0.899999976,2.640000105,30,16,135
1644430081,4/14/2016,11037,8.020000458,0.360000014,2.559999943,5.099999905,5,58,252
1644430081,4/15/2016,5263,3.829999924,0.219999999,0.150000006,3.450000048,3,4,170
1644430081,4/16/2016,15300,11.11999989,4.099999905,1.879999995,5.090000153,51,42,212
1644430081,4/17/2016,8757,6.369999886,2.25,0.569999993,3.549999952,29,13,186
1644430081,4/18/2016,7132,5.190000057,1.070000052,1.669999957,2.450000048,15,33,121
1644430081,4/19/2016,11256,8.180000305,0.360000014,2.529999971,5.300000191,5,58,278
1644430081,4/20/2016,2436,1.769999981,0,0,1.75999999,0,0,125
1644430081,4/21/2016,1223,0.889999986,0,0,0.879999995,0,0,38
1644430081,4/22/2016,3673,2.670000076,0,0,2.660000086,0,0,86
1644430081,4/23/2016,6637,4.829999924,0,0.579999983,4.25,0,15,160
1644430081,4/24/2016,3321,2.410000086,0,0,2.410000086,0,0,89
1644430081,4/25/2016,3580,2.599999905,0.589999974,0.059999999,1.950000048,8,1,94
1644430081,4/26/2016,9919,7.210000038,0.800000012,1.720000029,4.690000057,11,41,223
1644430081,4/27/2016,3032,2.200000048,0,0,2.200000048,0,0,118
1644430081,4/28/2016,9405,6.840000153,0.200000003,2.319999933,4.309999943,3,53,227
1644430081,4/29/2016,3176,2.309999943,0,0,2.309999943,0,0,120
1644430081,4/30/2016,18213,13.23999977,0.629999995,3.140000105,9.460000038,9,71,402
1644430081,05.01.16,6132,4.460000038,0.239999995,0.99000001,3.230000019,3,24,146
1644430081,05.02.16,3758,2.730000019,0.07,0.310000002,2.349999905,1,7,148
1644430081,05.03.16,12850,9.340000153,0.720000029,4.090000153,4.539999962,10,94,221
1644430081,05.04.16,2309,1.679999948,0,0,1.659999967,0,0,52
1644430081,05.05.16,4363,3.190000057,0.519999981,0.540000021,2.130000114,6,12,81
1644430081,05.06.16,9787,7.119999886,0.819999993,0.270000011,6.010000229,11,6,369
1644430081,05.07.16,13372,9.720000267,3.25999999,0.790000021,5.670000076,41,17,243
1644430081,05.08.16,6724,4.889999866,0,0,4.880000114,0,0,295
1644430081,05.09.16,6643,4.829999924,2.390000105,0.349999994,2.089999914,32,6,303
1644430081,05.10.16,9167,6.659999847,0.879999995,0.810000002,4.96999979,12,19,155
1644430081,05.11.16,1329,0.970000029,0,0,0.949999988,0,0,49
1844505072,04.12.16,6697,4.429999828,0,0,4.429999828,0,0,339
1844505072,4/13/2016,4929,3.25999999,0,0,3.25999999,0,0,248
1844505072,4/14/2016,7937,5.25,0,0,5.230000019,0,0,373
1844505072,4/15/2016,3844,2.539999962,0,0,2.539999962,0,0,176
1844505072,4/16/2016,3414,2.25999999,0,0,2.25999999,0,0,147
1844505072,4/17/2016,4525,2.99000001,0.140000001,0.25999999,2.589999914,2,8,199
1844505072,4/18/2016,4597,3.039999962,0,0.479999989,2.559999943,0,12,217
1844505072,4/19/2016,,0.129999995,0,0,0.129999995,0,0,10
1844505072,4/20/2016,,0.01,0,0,0.01,0,0,1
1844505072,4/21/2016,8054,5.320000172,0.119999997,0.519999981,4.679999828,2,13,308
1844505072,4/22/2016,5372,3.549999952,0,0,3.549999952,0,0,220
1844505072,4/23/2016,3570,2.359999895,0,0,2.359999895,0,0,139
1844505072,4/24/2016,,0,0,0,0,0,0,0
1844505072,4/25/2016,,0,0,0,0,0,0,0
1844505072,4/26/2016,,0,0,0,0,0,0,0
1844505072,4/27/2016,,0,0,0,0,0,0,1
1844505072,4/28/2016,6907,4.570000172,0,0,4.559999943,0,0,302
1844505072,4/29/2016,4920,3.25,0,0,3.25,0,0,247
1844505072,4/30/2016,4014,2.670000076,0,0,2.650000095,0,0,184
1844505072,05.01.16,2573,1.700000048,0,0.25999999,1.450000048,0,7,75
1844505072,05.02.16,0,0,0,0,0,0,0,0
1844505072,05.03.16,4059,2.680000067,0,0,2.680000067,0,0,184
1844505072,05.04.16,2080,1.370000005,0,0,1.370000005,0,0,87
1844505072,05.05.16,2237,1.480000019,0,0,1.480000019,0,0,120
1844505072,05.06.16,44,0.029999999,0,0,0.029999999,0,0,2
1844505072,05.07.16,0,0,0,0,0,0,0,0
1844505072,05.08.16,0,0,0,0,0,0,0,0
1844505072,05.09.16,0,0,0,0,0,0,0,0
1844505072,05.10.16,0,0,0,0,0,0,0,0
1844505072,05.11.16,0,0,0,0,0,0,0,0
1844505072,05.12.16,0,0,0,0,0,0,0,0
1927972279,04.12.16,678,0.469999999,0,0,0.469999999,0,0,55
1927972279,4/13/2016,356,0.25,0,0,0.25,0,0,32
1927972279,4/14/2016,2163,1.5,0,0.400000006,1.100000024,0,9,88
1927972279,4/15/2016,980,0.680000007,0,0,0.680000007,0,0,51
1927972279,4/16/2016,0,0,0,0,0,0,0,0
1927972279,4/17/2016,0,0,0,0,0,0,0,0
1927972279,4/18/2016,244,0.170000002,0,0,0.170000002,0,0,17
1927972279,4/19/2016,0,0,0,0,0,0,0,0
1927972279,4/20/2016,0,0,0,0,0,0,0,0
1927972279,4/21/2016,0,0,0,0,0,0,0,0
1927972279,4/22/2016,149,0.100000001,0,0,0.100000001,0,0,10
1927972279,4/23/2016,2945,2.039999962,0,0,2.039999962,0,0,145
1927972279,4/24/2016,2090,1.450000048,0.07,0.239999995,1.139999986,1,6,75
1927972279,4/25/2016,152,0.109999999,0,0,0.109999999,0,0,12
1927972279,4/26/2016,3761,2.599999905,0,0,2.599999905,0,0,192
1927972279,4/27/2016,0,0,0,0,0,0,0,0
1927972279,4/28/2016,1675,1.159999967,0,0,1.159999967,0,0,95
1927972279,4/29/2016,0,0,0,0,0,0,0,0
1927972279,4/30/2016,0,0,0,0,0,0,0,0
1927972279,05.01.16,,1.870000005,1.00999999,0.029999999,0.829999983,14,1,70
1927972279,05.02.16,3790,2.619999886,1.159999967,0.300000012,1.159999967,16,8,94
1927972279,05.03.16,1326,0.920000017,0.730000019,0,0.180000007,10,0,17
1927972279,05.04.16,,1.24000001,0,0,1.24000001,0,0,87
1927972279,05.05.16,0,0,0,0,0,0,0,0
1927972279,05.06.16,2091,1.450000048,0,0,1.450000048,0,0,108
1927972279,05.07.16,1510,1.039999962,0,0,1.039999962,0,0,48
1927972279,05.08.16,0,0,0,0,0,0,0,0
1927972279,05.09.16,0,0,0,0,0,0,0,0
1927972279,05.10.16,,0,0,0,0,0,0,0
1927972279,05.11.16,0,0,0,0,0,0,0,0
1927972279,05.12.16,0,0,0,0,0,0,0,0
2022484408,04.12.16,11875,8.340000153,3.309999943,0.769999981,4.260000229,42,14,227
2022484408,4/13/2016,12024,8.5,2.99000001,0.100000001,5.409999847,43,5,292
2022484408,4/14/2016,10690,7.5,2.480000019,0.209999993,4.820000172,32,3,257
2022484408,4/15/2016,,8.029999733,1.940000057,0.310000002,5.78000021,27,9,282
2022484408,4/16/2016,10100,7.090000153,3.150000095,0.550000012,3.390000105,41,11,151
2022484408,4/17/2016,15112,11.39999962,3.869999886,0.660000026,6.880000114,28,29,331
2022484408,4/18/2016,14131,10.06999969,3.640000105,0.119999997,6.300000191,48,3,311
2022484408,4/19/2016,11548,8.529999733,3.289999962,0.239999995,5,31,7,250
2022484408,4/20/2016,15112,10.67000008,3.339999914,1.929999948,5.400000095,48,63,276
2022484408,4/21/2016,12453,8.739999771,3.329999924,1.110000014,4.309999943,104,53,255
2022484408,4/22/2016,,9.329999924,4.429999828,0.419999987,4.46999979,52,10,273
2022484408,4/23/2016,6001,4.210000038,0,0,4.210000038,0,0,249
2022484408,4/24/2016,13481,10.27999973,4.550000191,1.149999976,4.579999924,37,26,216
2022484408,4/25/2016,11369,8.010000229,3.329999924,0.219999999,4.460000038,44,8,217
2022484408,4/26/2016,10119,7.190000057,1.429999948,0.660000026,5.110000134,55,24,275
2022484408,4/27/2016,10159,7.130000114,1.039999962,0.970000029,5.119999886,19,20,282
2022484408,4/28/2016,10140,7.119999886,0.409999996,1.330000043,5.389999866,6,20,291
2022484408,4/29/2016,10245,7.190000057,0.479999989,1.210000038,5.5,21,40,281
2022484408,4/30/2016,18387,12.90999985,0.939999998,1.399999976,10.56999969,13,23,361
2022484408,05.01.16,10538,7.400000095,1.940000057,0.959999979,4.5,25,28,245
2022484408,05.02.16,10379,7.289999962,2.609999895,0.340000004,4.329999924,36,8,277
2022484408,05.03.16,12183,8.739999771,3.99000001,0.460000008,4.28000021,72,14,250
